dataset,scope,page,test_type,chart_id,chart_title,series,category,value
students,Dewey Elementary School,attendance,,students-count-att,summary counts,,EL,43.0
students,Dewey Elementary School,attendance,,att-ada,ADA,,value,95.6
students,Dewey Elementary School,attendance,,att-cron-abs,Chronic Absenteeism (%),,value,16.51
students,Dewey Elementary School,discipline,,students-count-discipline,summary counts,,Incidents,20.0
students,Dewey Elementary School,discipline,,students-count-discipline,summary counts,,Students,8.0
students,Dewey Elementary School,discipline,,students-count-discipline,summary counts,,Minor Incidents,8.0
students,Dewey Elementary School,discipline,,students-count-discipline,summary counts,,Major Incidents,12.0
students,Dewey Elementary School,discipline,,school,Incidents by School,,Dewey Elementary School,20.0
students,Dewey Elementary School,discipline,,lvl,Incident Types,,LVL1,5.0
students,Dewey Elementary School,discipline,,lvl,Incident Types,,LVL2,3.0
students,Dewey Elementary School,discipline,,lvl,Incident Types,,LVL3,12.0
students,Dewey Elementary School,discipline,,months,Incidents by Month,,August,5.0
students,Dewey Elementary School,discipline,,months,Incidents by Month,,September,15.0
students,Dewey Elementary School,discipline,,race,Incidents by Race/Ethnicity,,American Indian or Alaska Native,4.0
students,Dewey Elementary School,discipline,,race,Incidents by Race/Ethnicity,,Black or African American,10.0
students,Dewey Elementary School,discipline,,race,Incidents by Race/Ethnicity,,Hispanic or Latino,2.0
students,Dewey Elementary School,discipline,,race,Incidents by Race/Ethnicity,,White,4.0
students,Dewey Elementary School,discipline,,grade,Incidents by Grade,,0,9.0
students,Dewey Elementary School,discipline,,grade,Incidents by Grade,,1,1.0
students,Dewey Elementary School,discipline,,grade,Incidents by Grade,,2,3.0
students,Dewey Elementary School,discipline,,grade,Incidents by Grade,,3,3.0
students,Dewey Elementary School,discipline,,grade,Incidents by Grade,,4,4.0
students,Dewey Elementary School,assessments,STAR Reading,students-count-ast,summary counts,,Students,162.0
students,Dewey Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,8.0
students,Dewey Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,12.0
students,Dewey Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,56.0
students,Dewey Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,66.0
students,Dewey Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,20.0
students,Dewey Elementary School,assessments,STAR Early Literacy,students-count-ast,summary counts,,Students,144.0
students,Dewey Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,11.0
students,Dewey Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Intervention,Intervention,11.0
students,Dewey Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,37.0
students,Dewey Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),At Benchmark,At Benchmark,71.0
students,Dewey Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,14.0
students,Dewey Elementary School,assessments,STAR Reading Spanish,students-count-ast,summary counts,,Students,45.0
