dataset,scope,page,test_type,chart_id,chart_title,series,category,value
students,Dawes Elementary School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,3 or More Grade Levels Below,3 or More Grade Levels Below,11.0
students,Dawes Elementary School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,2 Grade Levels Below,2 Grade Levels Below,37.0
students,Dawes Elementary School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,1 Grade Level Below,1 Grade Level Below,169.0
students,Dawes Elementary School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Early On Grade Level,Early On Grade Level,29.0
students,Dawes Elementary School,assessments,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Mid or Above Grade Level,Mid or Above Grade Level,35.0
students,Dewey Elementary School,home,,home-iep,IEP Status,,Has IEP,50.0
students,Dewey Elementary School,home,,home-iep,IEP Status,,No IEP,265.0
students,Dewey Elementary School,home,,home-lep,EL Status,,EL,43.0
students,Dewey Elementary School,home,,home-lep,EL Status,,Not EL,272.0
students,Dewey Elementary School,home,,home-race,Race/Ethnicity,,Asian,18.0
students,Dewey Elementary School,home,,home-race,Race/Ethnicity,,Black or African American,47.0
students,Dewey Elementary School,home,,home-race,Race/Ethnicity,,Hispanic or Latino,70.0
students,Dewey Elementary School,home,,home-race,Race/Ethnicity,,Multi-racial,40.0
students,Dewey Elementary School,home,,home-race,Race/Ethnicity,,White,135.0
students,Dewey Elementary School,home,,home-race,Race/Ethnicity,,Other*,5.0
students,Dewey Elementary School,home,,home-incidents,Incidents - SY27,,LVL1,5.0
students,Dewey Elementary School,home,,home-incidents,Incidents - SY27,,LVL2,3.0
students,Dewey Elementary School,home,,home-incidents,Incidents - SY27,,LVL3,12.0
students,Dewey Elementary School,home,,home-grade,Grade Level,,0,48.0
students,Dewey Elementary School,home,,home-grade,Grade Level,,1,55.0
students,Dewey Elementary School,home,,home-grade,Grade Level,,2,45.0
students,Dewey Elementary School,home,,home-grade,Grade Level,,3,52.0
students,Dewey Elementary School,home,,home-grade,Grade Level,,4,64.0
students,Dewey Elementary School,home,,home-grade,Grade Level,,5,51.0
students,Dewey Elementary School,home,,home-twi,TWI Status,,TWE,49.0
students,Dewey Elementary School,home,,home-twi,TWI Status,,TWS,27.0
students,Dewey Elementary School,home,,home-twi,TWI Status,,TWX,26.0
students,Dewey Elementary School,home,,home-ada,ADA,,value,95.6
students,Dewey Elementary School,home,,home-enrollment,Enrollment,,value,315.0
students,Dewey Elementary School,attendance,,students-count-att,summary counts,,Students,315.0
students,Dewey Elementary School,attendance,,students-count-att,summary counts,,IEP,50.0
